id;descripcio;nogis;uso;nivel;N_patente;Nombre_com;Id_persona;Aprobacion;Categoria;Actividad;Permiso_sa;Vigencia_p;Tipo_rotul;Dimension;Rotulo;Provincia;Lic_licor;Codigo_act;Nogis_1;N_finca;F_real;Derecho;Direccion_;Filial;N_plano_ca;Tipo_perso;Distrito;Canton;Este;Norte;Lat;longitud
29578;PREDIO ORDINARIO;169005000;;0;77;LA ESQUINA;2673;21/4/1998 00:00;COM;SODA;CS-ARS-SA-231-15;10/6/2019 00:00;;0;1;1;0;0;169005000;58049;;0;SALITRAL, COSTADO SUR DE LA GUARDIA RURAL.;;NO SE INDICA;F;SANTA ANA;SANTA ANA;480459.450000000000000;1095688.219999990000000;9.909030000000000;-84.178190000000000
844;PREDIO ORDINARIO;314084000;;0;372;ROSTI POLLOS;100775;27/11/2001 00:00;COM;RESTAURANTE;372;;;0;1;1;104;774;314084000;485950;;0;POZOS, DE LA CURZ ROJA 1.315 NORTE.;;1-682541-2001;J;POZOS;SANTA ANA;479137.690000000000000;1099774.969999990000000;9.945970000000000;-84.190269999999900
3690;PREDIO ORDINARIO;127098000;;0;628;INTERNET CAFE DEL SOL;19059;6/3/2000 00:00;COM;ALQUILER Y VENTA DE COMPUTADORAS;628;;;0;0;1;0;68;127098000;188929;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 100 SUR.;;1-6967-1968;J;SANTA ANA;SANTA ANA;480121.719999999000000;1098220.340000000000000;9.931920000000000;-84.181290000000000
31162;PREDIO ORDINARIO;405026000;COMERCIAL;0;502;FRUTICA;205905;22/7/2003 00:00;COM;MINISUPER;502;;;0;1;1;218;402;405026000;582467;;0;URUCA, COSTADO OESTE DE LA INTERSECCION DE RUTA NACIONAL 121 CON CALLE 26.;;1-340909-1979;J;URUCA;SANTA ANA;478803.950000000000000;1098523.820000000000000;9.934659999999990;-84.193309999999900
202;CONDOMINIO SANTA ANA DOS MIL;325201000;COMERCIAL;0;203;TELEDOLAR SANTA ANA;109055;10/7/2006 00:00;COM;ENVIO DE DINERO;203;;;0;1;1;0;327;325201000;14130;;0;CENTRO COMERCIAL SANTA ANA 2000, LOCAL # 43.;F;1-116210-1993;J;POZOS;SANTA ANA;478977.369999999000000;1099464.409999990000000;9.943160000000000;-84.191730000000000
217;CONDOMINIO SANTA ANA DOS MIL;325235000;COMERCIAL;0;370;MEGA SUPER;18800;1/1/1900 00:00;COM;SUPERMERCADO, ABARROTES Y VERDURAS;370;;;0;1;1;232;0;325235000;14118;;0;POZOS, CENTRO COMERCIAL SANTA ANA 2000, LOCAL # 31.;F;1-116193-1993;J;POZOS;SANTA ANA;478951.739999999000000;1099451.580000000000000;9.943049999999990;-84.191959999999900
12746;PREDIO ORDINARIO;124017000;;0;22;AGRO SALITRE;5696;1/1/1900 00:00;COM;AGROQUIMICOS;22;8/4/2018 00:00;;0;1;1;0;48;124017000;125725;;0;SANTA ANA, CENTRO, DE RICESA 100 ESTE.;;1-370429-1979;J;SANTA ANA;SANTA ANA;480224.500000000000000;1098150.860000000000000;9.931290000000000;-84.180350000000000
30278;PREDIO ORDINARIO;124023000;;0;285;BAR Y RESTAURANTE EL COCO;113540;1/1/1900 00:00;COM;BAR Y RESTAURANTE;285;;;0;1;1;66;0;124023000;300863;;0;SANTA ANA, CENTRO, COSTADO ESTE DE RICESA, BAR-RESTAURANTE EL COCO.;;1-444052-1981;J;SANTA ANA;SANTA ANA;480169.820000000000000;1098158.270000000000000;9.931360000000000;-84.180850000000000
5110;URBANIZACION MATILDE CAVALLINI;132082000;HABITACIONAL;0;582;CEDIC;3774;12/11/2003 00:00;COM;ESCUELA PRIVADA (TUTORIAS);582;;;0;1;1;0;342;132082000;183536;;0;SANTA ANA, CENTRO, COSTADO SUR DE LA PULPERIA EL ROBLE.;;1-684-1967;F;SANTA ANA;SANTA ANA;479717.200000000000000;1098129.209999990000000;9.931089999999990;-84.184970000000000
2542;PREDIO ORDINARIO;537018000;;0;514;EBANISTERIA MIGUEL;13880;1/1/1900 00:00;COM;EBANISTERIA;514;;;0;0;1;0;309;537018000;287791;;0;URUCA, DE LA INTERSECCION DE AVENIDA 06A CON CALLE 20, 432 MTS. SUR.;;1-361862-1979;F;URUCA;SANTA ANA;479635.950000000000000;1097387.110000000000000;9.924379999999990;-84.185710000000000
2089;PREDIO ORDINARIO;530104000;;0;246;SALON DE BELLEZA TITI;17048;1/1/1900 00:00;COM;SALON DE BELLEZA;014-2020;8/1/2025 00:00;;0;0;1;0;803;530104000;484653;;0;COSTADO SUR DE LA INTERSECCION DE AVENIDA 00 CON CALLE 28. CALLE TITI.;;1-339282-1996;F;URUCA;SANTA ANA;478737.440000000000000;1098174.610000000000000;9.931500000000000;-84.193910000000000
